Work_ID,Work_Name,Movement_Name,Track Title
11161,6 Piano Pieces,"No. 3, Albumblatt. Allegretto",
11280,"The 3 Musketeers (Arr. J. Longstaff), Act II",Masked Ball,
11436,Tides,"No. 1, The Lone Wreck",
11638,"Violin Concerto in B Minor, Op. 61",I. Allegro,
11763,Aurora,,
11853,"Sonnet No. 109, O Never Say That I Was False of Heart",,
11853,"Sonnet No. 27, Weary With Toil, I Haste to Go to My Bed",,
11931,Adriano in Siria,Saggio guerriero antico,
12090,"Piano Sonata No. 3 in F-Sharp Minor, Op. 23",IV. Presto con fuoco,
12092,The Perilous Night,"No. 1, —",
12505,Til Dig,,
12693,"Water Music Suite No. 1 in F Major, HWV 348",XI. Alla Hornpipe,
12781,"6 Intermezzos, Op. 4",No. 5 in D Minor. Allegro moderato,
12930,"Tenebrae Motets, Op. 72, Second Nocturn",III. Unus ex discipulis,
12976,The Sheik of Araby (Reprise),,
13011,"Liden Kirsten, Op. 44","Langt, langt fra hjemments kyst",
13011,"Liden Kirsten, Op. 44","Ja, jeg er hjemme, i mit kaere Danmark (Oh, I am home now, My beloved Denmark)",
13173,Grand Fantasy on Porgy and Bess,,
13645,The Peanut Polka,,
13777,"25 Variations & Fugue on a Theme by Handel, Op. 24",Var. 25,
13777,"25 Variations & Fugue on a Theme by Handel, Op. 24",Vars. 22-25,
13778,Pictures at an Exhibition,I. Gnomus,
13778,Pictures at an Exhibition,Promenade V,
13778,Pictures at an Exhibition,"No. 4, Bydlo",
13778,Pictures at an Exhibition,Promenade III,
13778,Pictures at an Exhibition,VI. Samuel Goldenberg & Schmuÿle,
13778,Pictures at an Exhibition,VIII. Con mortuis in lingua mortua,
13778,Pictures at an Exhibition,IX. The Hut on Fowl's Legs (Baba-Yagá),
13778,Pictures at an Exhibition,V. Ballet of the Chickens in Their Shells,
13778,Pictures at an Exhibition,"No. 5, Ballet of the Chickens in their Shells",
13797,Summer Days Suite,III. At the Dance,
13813,Offrandes,I. Chant de la Haut,
13815,"Piano Concerto No. 3 in C Minor, Op. 37",II. Largo,
13905,"3 Fantasy Pieces, Op. 6","No. 2, Notturno",
14081,Ain't Misbehavin',,
14141,Carmen Suite,V. Les dragons d'Alcala,
14373,"Carmen, WD 31",Intermezzo (Arr. for Flute & Harp),
14632,4 Danzas Mexicanas,"No. 2, Vivo. Più lento",
14655,Prodaná nev?sta,"Oh, jaký žal!",
14669,Cello Sonata in G Major,II. Allegro,
14672,Plaisir d'amour (Arr. E.B. Bengtsson for Cello & Guitar),,
